values seperated by a comma,
F [Hz],THA [g],Direct [g] 
0.2,0.09012876,0.08947971
0.21147,0.09851159,0.09795258
0.2236,0.10965798,0.10904535
0.23643,0.11976133,0.11942687
0.24999,0.13090973,0.130783
0.26432,0.14167669,0.14165741
0.27949,0.15201338,0.15105185
0.29552,0.16107461,0.16075389
0.31247,0.16948058,0.16854061
0.33039,0.17493215,0.17469646
0.34934,0.18532158,0.18527631
0.36938,0.19296617,0.1923307
0.39056,0.20472322,0.20423418
0.41296,0.21858057,0.21847055
0.43665,0.2273754,0.22726272
0.46169,0.2341005,0.233726
0.48818,0.24659627,0.2464142
0.51618,0.26012062,0.26005501
0.54578,0.2733452,0.27249619
0.57709,0.28182724,0.28146534
0.61019,0.29312477,0.29254703
0.64519,0.3094202,0.30940117
0.68219,0.32387937,0.32377638
0.72132,0.33971408,0.33959195
0.76269,0.35548371,0.35547181
0.80644,0.36888217,0.36880689
0.85269,0.39659611,0.39660438
0.9016,0.41474088,0.41460798
0.95331,0.43098094,0.43066254
1.00799,0.44714795,0.44684702
1.06581,0.46952845,0.46952398
1.12694,0.48459781,0.48429162
1.19158,0.51445642,0.51416128
1.25992,0.54164672,0.54133484
1.33219,0.57603485,0.5754941
1.4086,0.58906259,0.58899884
1.48939,0.61018624,0.60979708
1.57482,0.64280991,0.64274021
1.66514,0.66896787,0.6685479
1.76065,0.70625653,0.70626027
1.86164,0.74389801,0.74352072
1.96841,0.78192464,0.78175628
2.08132,0.82267734,0.82173182
2.20069,0.84006059,0.84005014
2.32692,0.90023016,0.90019987
2.46038,0.94701895,0.94631579
2.6015,0.95377736,0.95242628
2.75072,0.92717345,0.92764171
2.90849,0.93414266,0.93411356
3.07531,0.94448216,0.94522758
3.2517,0.93098536,0.93052471
3.43821,0.90813209,0.9089538
3.63542,0.92957358,0.92874434
3.84393,0.9314774,0.93177316
4.06441,0.95542609,0.95496433
4.29753,0.93001463,0.93144397
4.54402,0.91738635,0.9181633
4.80465,0.90394034,0.90453478
5.08023,0.9212613,0.92254106
5.37162,0.93483155,0.93551093
5.67972,0.91909144,0.92061294
6.00549,0.92795482,0.93710761
6.34995,0.91308604,0.925612
6.71416,0.95470572,0.95810864
7.09927,0.97066799,0.98292991
7.50646,1.00830176,1.02303913
7.93701,1.06810423,1.09984237
8.39225,1.03345856,1.08384635
8.8736,1.05444539,1.14624844
9.38256,1.13204007,1.24898343
9.92072,1.19120631,1.40507545
10.4897,1.18253641,1.2956283
11.0914,1.07754219,1.16262017
11.7276,0.88158419,1.04156497
12.4002,0.75677884,0.83562205
13.1115,0.68841398,0.73788623
13.8635,0.65056296,0.68858159
14.6587,0.62841437,0.67267095
15.4994,0.60394799,0.67034248
16.3884,0.58120601,0.66139809
17.3284,0.57859558,0.68377819
18.3223,0.57888487,0.68722453
19.3733,0.58305965,0.67851081
20.4844,0.5679632,0.66564747
21.6594,0.56437007,0.65080202
22.9017,0.55039131,0.62699844
24.2153,0.52651862,0.58825051
25.6042,0.49958005,0.55899477
27.0727,0.48460467,0.5490258
28.6256,0.47341491,0.5449398
30.2674,0.47021576,0.54591054
32.0035,0.4707691,0.53015848
33.8391,0.47040628,0.51083595
35.78,0.47244777,0.49142737
37.8322,0.46303678,0.47367158
40.0022,0.45728274,0.46574804
42.2966,0.44888815,0.47625438
44.7226,0.44499496,0.50607633
47.2877,0.44245791,0.52736107
50.0,0.43786489,0.53992984
