RS_values 
values seperated by a comma,
F [Hz], Sa [m/s^2], Sv [m/s], Sd[m] 
0.2,0.74880944,0.71991384,0.45093796
0.21147,0.805637,0.7377722,0.43728024
0.2236,0.879559,0.74691544,0.42677844
0.23643,0.95350992,0.76700416,0.41623508
0.24999,1.00252152,0.76379276,0.39381028
0.26432,1.07109808,0.76769264,0.37554556
0.27949,1.15262332,0.76186812,0.358939
0.29552,1.232884,0.75862056,0.34423696
0.31247,1.287546,0.7279078,0.3239594
0.33039,1.3302304,0.70471972,0.30066632
0.34934,1.3633164,0.68728344,0.27595456
0.36938,1.4312888,0.67899768,0.25758072
0.39056,1.5107284,0.70031384,0.243703
0.41296,1.6028372,0.69924836,0.23198508
0.43665,1.7049468,0.68293736,0.22043992
0.46169,1.795274,0.66289276,0.20737288
0.48818,1.8771208,0.64898548,0.19341352
0.51618,1.9630932,0.64753768,0.18175872
0.54578,2.073036,0.64860944,0.17092232
0.57709,2.1472416,0.6312598,0.1587298
0.61019,2.2261292,0.62199368,0.1471486
0.64519,2.318598,0.61428092,0.13760032
0.68219,2.4269784,0.59475992,0.12929128
0.72132,2.5207608,0.5813676,0.11978888
0.76269,2.621628,0.5777934,0.11153838
0.80644,2.7091044,0.57227916,0.10339623
0.85269,2.839948,0.57298976,0.09672469
0.9016,3.0186676,0.57131848,0.09179052
0.95331,3.160802,0.55746444,0.0859788
1.00799,3.282118,0.54888528,0.08000713
1.06581,3.3890964,0.53816532,0.07397884
1.12694,3.54676,0.5273348,0.0692212
1.19158,3.7417,0.51602304,0.06526174
1.25992,3.9368012,0.51178756,0.06137439
1.33219,4.1114724,0.49643516,0.0573881
1.4086,4.2665232,0.48738904,0.05332904
1.48939,4.489568,0.4775924,0.05017476
1.57482,4.666946,0.47343084,0.04663463
1.66514,4.8581924,0.473249,0.04343249
1.76065,5.0555736,0.46270072,0.04044948
1.86164,5.288006,0.4503956,0.0378956
1.96841,5.5987404,0.44396164,0.0358262
2.08132,5.8897576,0.44187412,0.03374576
2.20069,6.0288172,0.42917668,0.03092579
2.32692,6.221724,0.41991808,0.02855869
2.46038,6.415726,0.40310232,0.0263604
2.6015,6.598006,0.38893096,0.02425136
2.75072,6.5725072,0.35922564,0.02160177
2.90849,6.6185628,0.33151508,0.01946918
3.07531,6.633192,0.31112852,0.01745304
3.2517,6.5559052,0.29525184,0.01544207
3.43821,6.4835792,0.27901556,0.01365349
3.63542,6.5986016,0.26581684,0.01243355
3.84393,6.621796,0.25129956,0.01115953
4.06441,6.6871316,0.23648924,0.01008061
4.29753,6.5585796,0.21545304,0.00885647
4.54402,6.3713928,0.1999856,0.00770216
4.80465,6.2364716,0.18669012,0.00673917
5.08023,6.3425376,0.17679736,0.00613912
5.37162,6.3313644,0.16441948,0.00547648
5.67972,6.2836024,0.14927988,0.00486542
6.00549,6.271002,0.13701308,0.00433844
6.34995,6.1925488,0.12588492,0.00384325
6.71416,6.13469,0.120322,0.00339892
7.09927,6.2276504,0.1142245,0.00309979
7.50646,6.3008392,0.10790521,0.00279614
7.93701,6.3683312,0.10067781,0.0025248
8.39225,6.2362876,0.09119735,0.00221864
8.8736,6.1163392,0.08342962,0.00193072
9.38256,5.9708288,0.07809899,0.00170318
9.92072,5.901234,0.07265738,0.00149549
10.4897,5.8801556,0.06637538,0.0013354
11.0914,5.7629632,0.05912734,0.00117586
11.7276,5.6457148,0.05277546,0.00102689
12.4002,5.571118,0.04710856,0.00090861
13.1115,5.4526596,0.04288278,0.00079607
13.8635,5.3215876,0.03944089,0.00069301
14.6587,5.1981628,0.03654043,0.00060729
15.4994,5.1152196,0.0333003,0.00053349
16.3884,5.0394936,0.02929636,0.00046888
17.3284,4.9747268,0.02621218,0.00041619
18.3223,4.8759164,0.02332026,0.00036746
19.3733,4.753172,0.02025988,0.00032104
20.4844,4.6569736,0.01733826,0.00027871
21.6594,4.5567656,0.0147638,0.00024348
22.9017,4.4799144,0.01259111,0.00021338
24.2153,4.4109268,0.01103071,0.00018862
25.6042,4.3481376,0.00975581,0.00016684
27.0727,4.304556,0.00865167,0.0001477
28.6256,4.2555408,0.00787804,0.00013109
30.2674,4.2025908,0.00711487,0.00011613
32.0035,4.16429,0.00646934,0.00010295
33.8391,4.1257984,0.0057474,9.141e-05
35.78,4.0799292,0.00502269,8.076e-05
37.8322,4.0350428,0.0043811,7.143e-05
40.0022,3.9866516,0.00378297,6.314e-05
42.2966,3.94167,0.00322719,5.588e-05
44.7226,3.8996536,0.002782,4.946e-05
47.2877,3.8655432,0.00238567,4.382e-05
50.0,3.8363412,0.00210455,3.887e-05
